year	benchmark	value	avg
1	1	7.7	9.33
1	2	7.7	9.33
1	3	0	0
1	4	7.7	9.46
1	5	7.7	9.17
1	6	7.7	1.84
1	7	0	9.27
1	8	7.7	8.98
1	9	7.7	9.46
1	10	0	0
1	11	7.7	9.64
1	12	7.7	9.27
1	13	7.7	9.37
1	14	7.7	9.55
1	15	7.7	9.15
1	16	7.7	9.24
2	1	7.1	9.36
2	2	8	9.42
2	3	0	0
2	4	11.5	9.49
2	5	11.5	9.2
2	6	7.1	1.79
2	7	0	9.44
2	8	8	8.85
2	9	8.8	9.51
2	10	0	0
2	11	11.5	9.61
2	12	5.3	9.33
2	13	1.8	9.37
2	14	11.5	9.56
2	15	4.4	9.18
2	16	3.5	9.29
3	1	10	9.33
3	2	8	9.35
3	3	0	0
3	4	10	9.44
3	5	10	9.12
3	6	10	1.77
3	7	0	9.2
3	8	4	8.97
3	9	6	9.45
3	10	10	9.36
3	11	0	9.64
3	12	6	9.38
3	13	0	9.32
3	14	10	9.48
3	15	6	9.19
3	16	10	9.16
4	1	7.7	9.46
4	2	7.7	9.4
4	3	0	0
4	4	7.7	9.4
4	5	7.7	9.38
4	6	7.7	1.73
4	7	0	9.38
4	8	7.7	9.26
4	9	0	9.53
4	10	7.7	9.68
4	11	7.7	9.77
4	12	7.7	9.5
4	13	7.7	9.49
4	14	7.7	9.62
4	15	7.7	9.37
4	16	7.7	9.32
5	1	4.4	9.26
5	2	11.1	9.31
5	3	0	0
5	4	11.1	9.26
5	5	11.1	9.25
5	6	6.7	1.74
5	7	0	9.18
5	8	11.1	9.06
5	9	4.4	9.51
5	10	0	9.37
5	11	11.1	9.68
5	12	11.1	9.36
5	13	4.4	9.34
5	14	11.1	9.62
5	15	2.2	9.21
5	16	0	9.32
