year	row	col	value
2011	1	1	87.1
2011	1	2	5.5
2011	1	3	0.4
2011	2	1	4.0
2011	2	2	1.8
2011	2	3	0.4
2011	3	1	0.6
2011	3	2	0.2
2011	3	3	0.0
2012	1	1	93.3
2012	1	2	0.9
2012	1	3	0.6
2012	2	1	3.0
2012	2	2	1.3
2012	2	3	0.2
2012	3	1	0.4
2012	3	2	0.4
2012	3	3	0.0
2013	1	1	91.4
2013	1	2	1.9
2013	1	3	0.0
2013	2	1	3.8
2013	2	2	2.4
2013	2	3	0.0
2013	3	1	0.5
2013	3	2	0.0
2013	3	3	0.0
2014	1	1	84.4
2014	1	2	2.2
2014	1	3	1.7
2014	2	1	5.7
2014	2	2	2.0
2014	2	3	1.0
2014	3	1	0.7
2014	3	2	0.7
2014	3	3	1.5
2015	1	1	83.2
2015	1	2	3.0
2015	1	3	0.0
2015	2	1	4.9
2015	2	2	7.3
2015	2	3	0.5
2015	3	1	0.3
2015	3	2	0.8
2015	3	3	0.0
