year	row	col	value
2011	1	1	0.0
2011	1	2	0.0
2011	1	3	0.0
2011	2	1	0.0
2011	2	2	0.0
2011	2	3	0.0
2011	3	1	0.0
2011	3	2	0.0
2011	3	3	0.0
2012	1	1	85.8
2012	1	2	2.3
2012	1	3	0.9
2012	2	1	5.0
2012	2	2	4.3
2012	2	3	0.0
2012	3	1	0.5
2012	3	2	0.9
2012	3	3	0.2
2013	1	1	82.2
2013	1	2	2.9
2013	1	3	0.4
2013	2	1	6.5
2013	2	2	4.7
2013	2	3	0.4
2013	3	1	0.8
2013	3	2	0.2
2013	3	3	1.8
2014	1	1	70.3
2014	1	2	9.6
2014	1	3	0.5
2014	2	1	7.2
2014	2	2	7.7
2014	2	3	0.7
2014	3	1	1.0
2014	3	2	1.0
2014	3	3	2.2
2015	1	1	65.9
2015	1	2	6.5
2015	1	3	0.3
2015	2	1	6.2
2015	2	2	13.1
2015	2	3	0.9
2015	3	1	0.6
2015	3	2	2.1
2015	3	3	4.5
