year	benchmark	value	avg
1	1	10	9.51
1	2	10	9.63
1	3	0	0
1	4	10	9.59
1	5	10	9.34
1	6	10	1.82
1	7	10	9.36
1	8	10	9.24
1	9	10	9.45
1	10	0	0
1	11	0	0
1	12	10	9.53
1	13	10	9.42
1	14	0	9.69
1	15	0	9.5
1	16	0	9.39
2	1	9.1	9.53
2	2	9.1	9.62
2	3	0	0
2	4	9.1	9.7
2	5	9.1	9.33
2	6	9.1	1.84
2	7	9.1	9.45
2	8	9.1	9.31
2	9	9.1	9.54
2	10	0	0
2	11	0	0
2	12	0	9.6
2	13	9.1	9.59
2	14	9.1	9.71
2	15	9.1	9.44
2	16	0	9.44
3	1	2.1	9.54
3	2	12.5	9.56
3	3	0	0
3	4	12.5	9.54
3	5	12.5	9.38
3	6	12.5	1.83
3	7	12.5	9.52
3	8	12.5	9.28
3	9	2.1	9.56
3	10	12.5	9.14
3	11	0	0
3	12	0	9.66
3	13	2.1	9.53
3	14	2.1	9.71
3	15	2.1	9.55
3	16	2.1	9.42
4	1	12.5	9.56
4	2	12.5	9.6
4	3	0	0
4	4	12.5	9.43
4	5	12.5	9.44
4	6	12.5	1.71
4	7	0	0
4	8	12.5	9.2
4	9	12.5	9.64
4	10	0	0
4	11	0	0
4	12	12.5	9.58
4	13	0	9.56
4	14	0	0
4	15	0	0
4	16	0	0
5	1	11.8	9.44
5	2	11.8	9.67
5	3	0	0
5	4	11.8	9.37
5	5	11.8	9.42
5	6	5.9	1.71
5	7	0	0
5	8	5.9	9.41
5	9	11.8	9.59
5	10	0	0
5	11	0	0
5	12	0	9.67
5	13	5.9	9.38
5	14	11.8	9.66
5	15	11.8	9.67
5	16	0	9.83
